enrollment_count,n_arms,n_primary_outcomes,n_secondary_outcomes,outcomes_ratio,n_locations,n_collaborators,log_enrollment,log_n_locations,protocol_complexity,enrollment_per_site,phase_NA,phase_PHASE1,phase_PHASE1/PHASE2,phase_PHASE2,phase_PHASE2/PHASE3,phase_PHASE3,phase_PHASE4,sponsor_type_INDIV,sponsor_type_INDUSTRY,sponsor_type_NETWORK,sponsor_type_NIH,sponsor_type_OTHER,sponsor_type_OTHER_GOV,sponsor_type_UNKNOWN,intervention_type_BIOLOGICAL,intervention_type_COMBINATION_PRODUCT,intervention_type_DEVICE,intervention_type_DIAGNOSTIC_TEST,intervention_type_DIETARY_SUPPLEMENT,intervention_type_DRUG,intervention_type_GENETIC,intervention_type_OTHER,intervention_type_PROCEDURE,intervention_type_RADIATION,allocation_RANDOMIZED,masking_NONE,masking_QUADRUPLE,masking_SINGLE,masking_TRIPLE,primary_purpose_DEVICE_FEASIBILITY,primary_purpose_DIAGNOSTIC,primary_purpose_ECT,primary_purpose_HEALTH_SERVICES_RESEARCH,primary_purpose_OTHER,primary_purpose_PREVENTION,primary_purpose_SCREENING,primary_purpose_SUPPORTIVE_CARE,primary_purpose_TREATMENT,primary_purpose_UNKNOWN,has_dmc,is_multicenter,has_us_site,abandoned
0.02702702702702703,0.0,0.0,0.6,1.0,35.0,0.0,0.03154682740635068,7.196108058960071,0.0,-0.5011973999315772,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0
-0.46846846846846846,0.0,2.0,0.2,-0.14285714285714285,4.0,0.0,-1.2574577298121805,2.7095112913514536,2.0,-0.510548523206751,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0
0.0,-2.0,0.0,0.4,0.7142857142857143,57.0,1.0,0.0,8.346933424522764,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1
0.36036036036036034,0.0,2.0,-0.4,-0.42857142857142855,0.0,2.0,0.33134015490227464,0.0,2.0,0.7215189873417721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
-0.5405405405405406,0.0,0.0,5.2,5.857142857142857,0.0,0.0,-2.7012526027333945,0.0,0.0,-0.5443037974683544,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1
-0.3783783783783784,0.0,0.0,1.0,1.5714285714285714,0.0,0.0,-0.7664636213977986,0.0,0.0,-0.31645569620253167,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
0.3783783783783784,1.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.34422486898584,0.0,0.5,0.7468354430379747,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1.018018018018018,0.0,0.0,0.0,0.14285714285714285,1.0,0.0,0.6887593546028937,1.0,0.0,0.9156118143459915,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1
-0.13513513513513514,0.0,8.0,-0.4,-0.42857142857142855,0.0,0.0,-0.18545477509103073,0.0,8.0,0.02531645569620253,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.46846846846846846,-1.0,0.0,-0.2,-0.14285714285714285,0.0,0.0,-1.2574577298121805,0.0,-0.5,-0.4430379746835443,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
